Instance,Method,Profit,BKS,Gap,Time
10I1,Greedy_MaxProfit,4110,4110,0.0,0.000298
10I1,Greedy_MinWeight,1493,4110,63.67396593673966,0.000261
10I1,Greedy_MaxProfitWeight,1493,4110,63.67396593673966,0.00022
10I1,Greedy_MinConflicts,2954,4110,28.126520681265205,0.000388
10I1,GRASP_100_0.3,2153,4110,47.61557177615572,0.839185
10I2,Greedy_MaxProfit,4087,4087,0.0,0.000326
10I2,Greedy_MinWeight,1549,4087,62.09933936873012,0.000234
10I2,Greedy_MaxProfitWeight,1549,4087,62.09933936873012,0.000236
10I2,Greedy_MinConflicts,2993,4087,26.767800342549545,0.00038
10I2,GRASP_100_0.3,1939,4087,52.556887692684114,0.799542
10I3,Greedy_MaxProfit,4277,4277,0.0,0.000372
10I3,Greedy_MinWeight,1186,4277,72.27028290858078,0.00024
10I3,Greedy_MaxProfitWeight,1186,4277,72.27028290858078,0.000235
10I3,Greedy_MinConflicts,2887,4277,32.499415478138886,0.000373
10I3,GRASP_100_0.3,1852,4277,56.69862052840776,0.737496
10I4,Greedy_MaxProfit,4430,4430,0.0,0.000474
10I4,Greedy_MinWeight,1162,4430,73.76975169300226,0.000285
10I4,Greedy_MaxProfitWeight,1162,4430,73.76975169300226,0.000232
10I4,Greedy_MinConflicts,3379,4430,23.724604966139957,0.000392
10I4,GRASP_100_0.3,2055,4430,53.6117381489842,0.810485
10I5,Greedy_MaxProfit,4032,4032,0.0,0.000347
10I5,Greedy_MinWeight,1047,4032,74.03273809523809,0.000215
10I5,Greedy_MaxProfitWeight,1047,4032,74.03273809523809,0.000216
10I5,Greedy_MinConflicts,2515,4032,37.62400793650794,0.000377
10I5,GRASP_100_0.3,1875,4032,53.49702380952381,0.740309
1I1,Greedy_MaxProfit,3322,3322,0.0,0.000179
1I1,Greedy_MinWeight,1234,3322,62.85370258880193,0.000107
1I1,Greedy_MaxProfitWeight,1581,3322,52.40818783865141,0.000141
1I1,Greedy_MinConflicts,2949,3322,11.228175797712222,0.000191
1I1,GRASP_100_0.3,2000,3322,39.79530403371463,0.290161
1I2,Greedy_MaxProfit,3254,3254,0.0,0.000155
1I2,Greedy_MinWeight,1325,3254,59.28088506453596,0.000119
1I2,Greedy_MaxProfitWeight,1569,3254,51.78242163491088,0.000125
1I2,Greedy_MinConflicts,2667,3254,18.039336201598033,0.000176
1I2,GRASP_100_0.3,2001,3254,38.50645359557468,0.332424
1I3,Greedy_MaxProfit,3220,3220,0.0,0.000164
1I3,Greedy_MinWeight,1335,3220,58.54037267080745,0.000129
1I3,Greedy_MaxProfitWeight,1335,3220,58.54037267080745,0.000115
1I3,Greedy_MinConflicts,2359,3220,26.73913043478261,0.00018
1I3,GRASP_100_0.3,1907,3220,40.776397515527954,0.282303
1I4,Greedy_MaxProfit,3437,3437,0.0,0.000164
1I4,Greedy_MinWeight,1256,3437,63.456502764038405,0.000116
1I4,Greedy_MaxProfitWeight,1256,3437,63.456502764038405,0.000101
1I4,Greedy_MinConflicts,2550,3437,25.807390165842303,0.00018
1I4,GRASP_100_0.3,1927,3437,43.93366307826593,0.290526
1I5,Greedy_MaxProfit,3421,3421,0.0,0.000157
1I5,Greedy_MinWeight,1684,3421,50.774627301958496,0.000121
1I5,Greedy_MaxProfitWeight,1684,3421,50.774627301958496,0.000119
1I5,Greedy_MinConflicts,2373,3421,30.634317451037706,0.000204
1I5,GRASP_100_0.3,2403,3421,29.75738088278281,0.316948
2I1,Greedy_MaxProfit,1753,1753,0.0,8.3e-05
2I1,Greedy_MinWeight,602,1753,65.65887050770108,6.9e-05
2I1,Greedy_MaxProfitWeight,602,1753,65.65887050770108,5.6e-05
